Date	New_Cases
8/26/2020 0:00	1851
8/25/2020 0:00	2226
8/24/2020 0:00	2408
8/23/2020 0:00	1509
8/22/2020 0:00	1794
8/21/2020 0:00	1791
8/20/2020 0:00	1945
8/19/2020 0:00	2232
8/18/2020 0:00	1789
8/17/2020 0:00	1568
8/16/2020 0:00	1549
8/15/2020 0:00	1796
8/14/2020 0:00	2337
8/13/2020 0:00	2273
8/12/2020 0:00	2330
8/11/2020 0:00	2348
8/10/2020 0:00	2250
8/9/2020 0:00	2160
8/8/2020 0:00	1777
8/7/2020 0:00	2615
8/6/2020 0:00	2860
8/5/2020 0:00	2553
8/4/2020 0:00	2600
8/3/2020 0:00	2508
8/2/2020 0:00	2171
8/1/2020 0:00	1512
7/31/2020 0:00	2005
7/30/2020 0:00	2190
7/29/2020 0:00	2317
7/28/2020 0:00	2317
7/27/2020 0:00	1836
7/26/2020 0:00	1735
7/25/2020 0:00	1578
7/24/2020 0:00	2361
7/23/2020 0:00	2110
7/22/2020 0:00	2354
7/21/2020 0:00	2572
7/20/2020 0:00	2060
7/19/2020 0:00	1474
7/18/2020 0:00	1772
7/17/2020 0:00	2013
7/16/2020 0:00	1668
7/15/2020 0:00	1590
7/14/2020 0:00	1894
7/13/2020 0:00	1339
7/12/2020 0:00	1078
7/11/2020 0:00	1439
7/10/2020 0:00	1403
7/9/2020 0:00	1627
7/8/2020 0:00	1682
7/7/2020 0:00	1656
7/6/2020 0:00	1626
7/5/2020 0:00	1149
7/4/2020 0:00	1450
7/3/2020 0:00	1387
7/2/2020 0:00	1460
7/1/2020 0:00	1501
6/30/2020 0:00	1278
6/29/2020 0:00	1455
6/28/2020 0:00	1094
6/27/2020 0:00	1203
6/26/2020 0:00	1499
6/25/2020 0:00	1343
6/24/2020 0:00	1331
6/23/2020 0:00	1154
6/22/2020 0:00	1262
6/21/2020 0:00	908
6/20/2020 0:00	879
6/19/2020 0:00	976
6/18/2020 0:00	1078
6/17/2020 0:00	856
6/16/2020 0:00	801
6/15/2020 0:00	656
6/14/2020 0:00	640
6/13/2020 0:00	726
6/12/2020 0:00	784
6/11/2020 0:00	683
6/10/2020 0:00	700
6/9/2020 0:00	649
6/8/2020 0:00	652
6/7/2020 0:00	336
6/6/2020 0:00	517
6/5/2020 0:00	554
6/4/2020 0:00	469
6/3/2020 0:00	506
6/2/2020 0:00	466
6/1/2020 0:00	309
5/31/2020 0:00	345
5/30/2020 0:00	430
5/29/2020 0:00	431
5/28/2020 0:00	385
5/27/2020 0:00	429
5/26/2020 0:00	332
5/25/2020 0:00	389
5/24/2020 0:00	425
5/23/2020 0:00	378
5/22/2020 0:00	458
5/21/2020 0:00	404
5/20/2020 0:00	284
5/19/2020 0:00	232
5/18/2020 0:00	189
5/17/2020 0:00	149
5/16/2020 0:00	221
5/15/2020 0:00	231
5/14/2020 0:00	145
5/13/2020 0:00	179
5/12/2020 0:00	147
5/11/2020 0:00	159
5/10/2020 0:00	133
5/9/2020 0:00	115
5/8/2020 0:00	109
5/7/2020 0:00	115
5/6/2020 0:00	91
5/5/2020 0:00	103
5/4/2020 0:00	53
5/3/2020 0:00	39
5/2/2020 0:00	39
5/1/2020 0:00	42
4/30/2020 0:00	27
4/29/2020 0:00	43
4/28/2020 0:00	47
4/27/2020 0:00	24
4/26/2020 0:00	29
4/25/2020 0:00	58
4/24/2020 0:00	49
4/23/2020 0:00	51
4/22/2020 0:00	34
4/21/2020 0:00	33
4/20/2020 0:00	23
4/19/2020 0:00	8
4/18/2020 0:00	20
4/17/2020 0:00	26
4/16/2020 0:00	22
4/15/2020 0:00	26
4/14/2020 0:00	8
4/13/2020 0:00	19
4/12/2020 0:00	15
4/11/2020 0:00	19
4/10/2020 0:00	20
4/9/2020 0:00	23
4/8/2020 0:00	27
4/7/2020 0:00	17
4/6/2020 0:00	13
4/5/2020 0:00	18
4/4/2020 0:00	14
4/3/2020 0:00	27
4/2/2020 0:00	12
4/1/2020 0:00	15
3/31/2020 0:00	28
3/30/2020 0:00	24
3/29/2020 0:00	10
3/28/2020 0:00	15
3/27/2020 0:00	9
3/26/2020 0:00	21
3/25/2020 0:00	19
3/24/2020 0:00	14
3/23/2020 0:00	6
3/22/2020 0:00	7
3/21/2020 0:00	9
3/20/2020 0:00	6
3/19/2020 0:00	5
3/18/2020 0:00	7
3/17/2020 0:00	5
3/16/2020 0:00	6
3/15/2020 0:00	1
3/14/2020 0:00	4
3/13/2020 0:00	5
3/11/2020 0:00	4
3/9/2020 0:00	2
3/8/2020 0:00	2
3/7/2020 0:00	2
3/4/2020 0:00	1
3/3/2020 0:00	1
3/2/2020 0:00	1
2/27/2020 0:00	1
2/24/2020 0:00	1
2/16/2020 0:00	1
8/14/2019 0:00	1
7/30/2019 0:00	1
7/24/2019 0:00	1
7/20/2019 0:00	1
Grand Total	143328
