Date	New_Cases
8/26/2020	1851
8/25/2020	2226
8/24/2020	2408
8/23/2020	1509
8/22/2020	1794
8/21/2020	1791
8/20/2020	1945
8/19/2020	2232
8/18/2020	1789
8/17/2020	1568
8/16/2020	1549
8/15/2020	1796
8/14/2020	2337
8/13/2020	2273
8/12/2020	2330
8/11/2020	2348
8/10/2020	2250
8/9/2020	2160
8/8/2020	1777
8/7/2020	2615
8/6/2020	2860
8/5/2020	2553
8/4/2020	2600
8/3/2020	2508
8/2/2020	2171
8/1/2020	1512
7/31/2020	2005
7/30/2020	2190
7/29/2020	2317
7/28/2020	2317
7/27/2020	1836
7/26/2020	1735
7/25/2020	1578
7/24/2020	2361
7/23/2020	2110
7/22/2020	2354
7/21/2020	2572
7/20/2020	2060
7/19/2020	1474
7/18/2020	1772
7/17/2020	2013
7/16/2020	1668
7/15/2020	1590
7/14/2020	1894
7/13/2020	1339
7/12/2020	1078
7/11/2020	1439
7/10/2020	1403
7/9/2020	1627
7/8/2020	1682
7/7/2020	1656
7/6/2020	1626
7/5/2020	1149
7/4/2020	1450
7/3/2020	1387
7/2/2020	1460
7/1/2020	1501
6/30/2020	1278
6/29/2020	1455
6/28/2020	1094
6/27/2020	1203
6/26/2020	1499
6/25/2020	1343
6/24/2020	1331
6/23/2020	1154
6/22/2020	1262
6/21/2020	908
6/20/2020	879
6/19/2020	976
6/18/2020	1078
6/17/2020	856
6/16/2020	801
6/15/2020	656
6/14/2020	640
6/13/2020	726
6/12/2020	784
6/11/2020	683
6/10/2020	700
6/9/2020	649
6/8/2020	652
6/7/2020	336
6/6/2020	517
6/5/2020	554
6/4/2020	469
6/3/2020	506
6/2/2020	466
6/1/2020	309
5/31/2020	345
5/30/2020	430
5/29/2020	431
5/28/2020	385
5/27/2020	429
5/26/2020	332
5/25/2020	389
5/24/2020	425
5/23/2020	378
5/22/2020	458
5/21/2020	404
5/20/2020	284
5/19/2020	232
5/18/2020	189
5/17/2020	149
5/16/2020	221
5/15/2020	231
5/14/2020	145
5/13/2020	179
5/12/2020	147
5/11/2020	159
5/10/2020	133
5/9/2020	115
5/8/2020	109
5/7/2020	115
5/6/2020	91
5/5/2020	103
5/4/2020	53
5/3/2020	39
5/2/2020	39
5/1/2020	42
4/30/2020	27
4/29/2020	43
4/28/2020	47
4/27/2020	24
4/26/2020	29
4/25/2020	58
4/24/2020	49
4/23/2020	51
4/22/2020	34
4/21/2020	33
4/20/2020	23
4/19/2020	8
4/18/2020	20
4/17/2020	26
4/16/2020	22
4/15/2020	26
4/14/2020	8
4/13/2020	19
4/12/2020	15
4/11/2020	19
4/10/2020	20
4/9/2020	23
4/8/2020	27
4/7/2020	17
4/6/2020	13
4/5/2020	18
4/4/2020	14
4/3/2020	27
4/2/2020	12
4/1/2020	15
3/31/2020	28
3/30/2020	24
3/29/2020	10
3/28/2020	15
3/27/2020	9
3/26/2020	21
3/25/2020	19
3/24/2020	14
3/23/2020	6
3/22/2020	7
3/21/2020	9
3/20/2020	6
3/19/2020	5
3/18/2020	7
3/17/2020	5
3/16/2020	6
3/15/2020	1
3/14/2020	4
3/13/2020	5
3/11/2020	4
3/9/2020	2
3/8/2020	2
3/7/2020	2
3/4/2020	1
3/3/2020	1
3/2/2020	1
2/27/2020	1
2/24/2020	1
2/16/2020	1
8/14/2019	1
7/30/2019	1
7/24/2019	1
7/20/2019	1
Grand	143328
